company_number,company_name,status,company_type,date_of_creation,address,postcode,locality,region,sic_codes,sic_descriptions,is_truck_commercial,is_mobile,categories
16153839,MOBILE TYRE RUNNER LTD,active,ltd,2024-12-27,"93 Vale Crescent South, Nottingham, NG8 3PQ",NG8 3PQ,Nottingham,,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile
07586783,MOBILE TYRES LIMITED,active,ltd,2011-03-31,"The Courtyard Shoreham Road, Upper Beeding, Steyning, West Sussex, BN44 3TN",BN44 3TN,Steyning,West Sussex,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile
14055418,MOBILE TYRES & MECHANIC LTD,active,ltd,2022-04-20,"662 High Road, London, N12 0NL",N12 0NL,London,,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile
16709742,MOBILE TYRES DOCTOR LTD,active,ltd,2025-09-10,"41 Hogarth Road, Ipswich, IP3 0HA",IP3 0HA,Ipswich,,45200; 45320; 82990,45200: Maintenance and repair of motor vehicles; 45320: Retail trade of motor vehicle parts and accessories; 82990: Other business support service activities n.e.c.,False,True,mobile
13660241,MOBILE TYRE SERVICES LTD,active,ltd,2021-10-04,"15 Redman Road, High Wycombe, HP12 4PH",HP12 4PH,High Wycombe,,45320,45320: Retail trade of motor vehicle parts and accessories,False,True,mobile; fitting_service
09212733,MOBILE TYRE SERVICES MANCHESTER LIMITED,active,ltd,2014-09-10,"Unit 1 Sandywood Depot Lumns Lane, Clifton, Swinton, Manchester, M27 8LH",M27 8LH,Manchester,,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile; fitting_service
16427788,MOBILE TYRE SERVICES 247 LTD,active,ltd,2025-05-02,"599 London Road, Earley, Reading, Berkshire, RG6 1AT",RG6 1AT,Reading,Berkshire,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile; fitting_service
12406929,MOBILE TYRES 4 YOU LTD,active,ltd,2020-01-16,"117 Dartford Rd, Dartford, Kent, DA1 3EN",DA1 3EN,Dartford,Kent,45320,45320: Retail trade of motor vehicle parts and accessories,False,True,mobile
08450293,MOBILE TYRES (GOOLE) LIMITED,active,ltd,2013-03-19,"Mobile Tyres (Goole), Mariners Street, Goole, East Yorkshire, DN14 5BS",DN14 5BS,Goole,East Yorkshire,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile
15349702,MOBILE TYRES LOCAL LTD,active,ltd,2023-12-13,"3rd Floor, 86-90 Paul Street, London, EC2A 4NE",EC2A 4NE,London,,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile
16950508,MOBILE TYRES LONDON 247 LTD,active,ltd,2026-01-08,"310 High Road, Wood Green, London, N22 8JR",N22 8JR,London,,22110; 45200,22110: SIC code 22110; 45200: Maintenance and repair of motor vehicles,False,True,mobile
16163981,MOBILE TYRES NATIONWIDE LTD,active,ltd,2025-01-06,"129 St. Johns Road, Slough, SL2 5HA",SL2 5HA,Slough,,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile
12720945,MOBILE TYRES NEAR ME LIMITED,active,ltd,2020-07-05,"152 Rushgrove Avenue, London, NW9 6RE",NW9 6RE,London,,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile
15161657,MOBILE TYRE SOLUTIONS LTD,active,ltd,2023-09-25,"Acorn House, Bower Street, Oldham, OL1 3PH",OL1 3PH,Oldham,,45320,45320: Retail trade of motor vehicle parts and accessories,False,True,mobile
15628367,MOBILE TYRES ONDEMAND LTD,active,ltd,2024-04-09,"7 Brinkburn Grove, Banbury, OX16 3WX",OX16 3WX,Banbury,,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile
15974806,MOBILE TYRE SPECIALISTS LIMITED,active,ltd,2024-09-24,"126 Wish Hill, Eastbourne, BN20 9HL",BN20 9HL,Eastbourne,,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile
16623956,MOBILE TYRES PORTSMOUTH LIMITED,active,ltd,2025-08-03,"Suite 9 Pine Court Business Centre, 36 Gervis Road, Bournemouth, United Kingdom, BH1 3DH",BH1 3DH,Bournemouth,United Kingdom,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile
SC863876,MOBILE TYRES RESCUE LTD,active,ltd,2025-09-23,"Flat 1.1 116 Maukinfauld Rd, Glasgow, G32 8TP",G32 8TP,Glasgow,,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile
15950403,MOBILE TYRES SERVICE LTD,active,ltd,2024-09-11,"19 Waddon Close, Croydon, CR0 4JT",CR0 4JT,Croydon,,96090,96090: Other personal service activities n.e.c.,False,True,mobile; fitting_service
15766173,MOBILE TYRES SOLUTIONS 247 LTD,active,ltd,2024-06-06,"9 Virginia Way, Reading, RG30 3QJ",RG30 3QJ,Reading,,45200; 45320,45200: Maintenance and repair of motor vehicles; 45320: Retail trade of motor vehicle parts and accessories,False,True,mobile
13257762,MOBILE TYRES SPECIALISTS CO LTD,active,ltd,2021-03-10,"162 Broad Street, Chesham, HP5 3ED",HP5 3ED,Chesham,,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile
13548574,MOBILE TYRES SURREY LTD,active,ltd,2021-08-04,"41 Oldfields Road, Sutton, Surrey, SM1 2NB",SM1 2NB,Sutton,Surrey,45200,45200: Maintenance and repair of motor vehicles,False,True,mobile
15191066,MOBILE TYRES 247 LTD,active,ltd,2023-10-05,"310 High Road, Wood Green, London, N22 8JR",N22 8JR,London,,22110,22110: SIC code 22110,False,True,mobile
07420840,MOBILE TYRES 2 U LTD,active,ltd,2010-10-27,"Southside Farm White Hill, London Road, Wooburn Moor, High Wycombe, Buckinghamshire, HP10 0NN",HP10 0NN,High Wycombe,Buckinghamshire,45320,45320: Retail trade of motor vehicle parts and accessories,False,True,mobile
01071945,CELTIC TYRE SERVICES (MAESTEG) LIMITED,active,ltd,1972-09-14,"C/O Micheldever Tyre Services Limited Micheldever Station, Andover Road, Winchester, SO21 3AP",SO21 3AP,Winchester,,99999,99999: SIC code 99999,False,False,fitting_service
NI625165,CENTRAL TYRE SERVICE LTD,active,ltd,2014-06-13,"18-20 Howard Street South, Belfast, BT7 1BA",BT7 1BA,Belfast,,45320,45320: Retail trade of motor vehicle parts and accessories,False,False,fitting_service
16180942,CHADWELL TYRE & SERVICE LTD,active,ltd,2025-01-13,"3 Marlborough Close, Benfleet, Essex, SS7 4JA",SS7 4JA,Benfleet,Essex,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
16738786,CHALLENGER TYRE SERVICES LTD,active,ltd,2025-09-24,"Pineham House, Pineham, Dover, CT15 5HB",CT15 5HB,Dover,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
07136205,CHELTENHAM TYRE SERVICES LIMITED,active,ltd,2010-01-26,"Treetops, Ross Road, Longhope, GL17 0NQ",GL17 0NQ,Longhope,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
13488026,CHEQUERED TYRE SERVICE LIMITED,active,ltd,2021-07-01,"4th Floor Charles House, 108-110 Finchley Road, London, NW3 5JJ",NW3 5JJ,London,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
SC515556,CHRIS SINCLAIR TYRE SERVICES LTD,active,ltd,2015-09-14,"Solhamar, Cunningsburgh, Shetland, ZE2 9HF",ZE2 9HF,Shetland,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
01886381,CITY TYRE SERVICES (CARDIFF) LIMITED,active,ltd,1985-02-15,"476a Cowbridge Road East, Cardiff, CF5 1BL",CF5 1BL,Cardiff,,45200; 45310,45200: Maintenance and repair of motor vehicles; 45310: Wholesale trade of motor vehicle parts and accessories,False,False,fitting_service
14376315,CLACTON TYRE & SERVICE CENTRE LTD,active,ltd,2022-09-26,"20 Harpers Way, Clacton-On-Sea, CO16 8BQ",CO16 8BQ,Clacton-On-Sea,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
16130800,CLEVELAND TYRE SERVICES LTD,active,ltd,2024-12-11,"11 Quorn Close, Guisborough, Cleveland, TS14 7NA",TS14 7NA,Guisborough,Cleveland,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
04808077,COLIN'S TYRE SERVICES LIMITED,active,ltd,2003-06-23,"King Cross Garage, Burnley Road, Halifax, HX2 7JG",HX2 7JG,Halifax,,45310,45310: Wholesale trade of motor vehicle parts and accessories,False,False,fitting_service
01514944,COLLIER ROW TYRE SERVICES LIMITED,active,ltd,1980-08-29,"19-20 Bourne Court Southend Road, Woodford Green, Essex, IG8 8HD",IG8 8HD,Woodford Green,Essex,45200; 45310,45200: Maintenance and repair of motor vehicles; 45310: Wholesale trade of motor vehicle parts and accessories,False,False,fitting_service
SC149065,COLLINS TYRE SERVICES LIMITED,active,ltd,1994-02-15,"42 Beith Road, Johnstone, PA5 8YE",PA5 8YE,,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
12192664,CONTACT TYRE AND SERVICES LTD,active,ltd,2019-09-06,"Unit 8 Bridge Street Mills, Union Street, Macclesfield, Cheshire, SK11 6QG",SK11 6QG,Macclesfield,Cheshire,45320,45320: Retail trade of motor vehicle parts and accessories,False,False,fitting_service
